execution_date,symbol,shares,market_value_at_open
2021-07-01,SH603900,10800,78190.59162139893
2021-07-01,SZ002128,8400,77886.32469177246
2021-07-01,SZ002283,14300,78030.02367019653
2021-07-01,SZ002382,4000,77617.1875
2021-07-01,SZ002531,9200,77764.68772888184
2021-07-01,SZ002567,11800,78459.91249084473
2021-07-01,SZ002753,8800,77613.47122192383
2021-07-01,SZ002763,8700,77718.26648712158
2021-07-01,SZ300443,2900,76477.48832702637
2021-07-01,SZ300677,1100,74463.25759887695
2021-08-02,SH600012,15700,81382.19728469849
2021-08-02,SH600033,34100,81538.29622268677
2021-08-02,SH600035,32100,81425.80497264862
2021-08-02,SH600512,26800,81506.96935653687
2021-08-02,SH600566,5500,80680.41610717773
2021-08-02,SH600694,4900,81418.33076477051
2021-08-02,SH601678,10600,80907.73162841797
2021-08-02,SH603199,4300,81070.60108184814
2021-08-02,SH603238,6100,81262.98723220825
2021-08-02,SZ000698,13900,81284.96704101562
2021-08-02,SZ002035,12200,81506.3645362854
2021-08-02,SZ002128,8600,80939.3180847168
2021-08-02,SZ002296,11300,81458.56528282166
2021-08-02,SZ002382,4100,81536.70425415039
2021-08-02,SZ002606,12400,81589.29691314697
2021-08-02,SZ002611,16100,81300.75764656067
2021-08-02,SZ002753,8800,81197.12371826172
2021-08-02,SZ300192,10900,81107.63788223267
2021-08-02,SZ300677,1200,78664.19677734375
2021-08-02,SZ300690,3400,80910.93788146973
2021-09-01,SH600033,36600,90635.66908836365
2021-09-01,SH600097,9100,90354.9578666687
2021-09-01,SH600273,9400,89963.48342895508
2021-09-01,SH600512,25600,90549.96337890625
2021-09-01,SH600643,13500,90201.28583908081
2021-09-01,SH600668,7600,89982.85598754883
2021-09-01,SH600707,10900,90476.97715759277
2021-09-01,SH600966,8600,89704.9575805664
2021-09-01,SH603238,7500,89500.4153251648
2021-09-01,SZ000581,4200,89840.85731506348
2021-09-01,SZ000612,9500,90125.36287307739
2021-09-01,SZ000690,16400,90552.1951675415
2021-09-01,SZ002022,7300,89501.04398727417
2021-09-01,SZ002270,13500,90114.93587493896
2021-09-01,SZ002382,4700,89501.90830230713
2021-09-01,SZ002606,11900,90512.49451637268
2021-09-01,SZ002763,10400,90162.03994750977
2021-09-01,SZ002774,9700,90352.79474258423
2021-09-01,SZ300443,2700,89967.48046875
2021-09-01,SZ300677,1600,87511.4990234375
2021-10-08,SH600033,35500,95984.06076431274
2021-10-08,SH600075,9700,95432.7841758728
2021-10-08,SH600097,8500,95071.40111923218
2021-10-08,SH600512,29500,95839.88952636719
2021-10-08,SH600643,14300,95684.55233573914
2021-10-08,SH600668,8000,95032.79113769531
2021-10-08,SH600707,11700,95338.9838218689
2021-10-08,SH600966,8500,94966.87126159668
2021-10-08,SH603199,4700,95438.47675323486
2021-10-08,SZ000581,5000,95638.91410827637
2021-10-08,SZ000690,14100,95540.08083343506
2021-10-08,SZ000725,19600,95903.87725830078
2021-10-08,SZ000949,15900,95644.22206878662
2021-10-08,SZ002022,7700,96075.8171081543
2021-10-08,SZ002109,16800,95837.88642883301
2021-10-08,SZ002270,13500,95575.65379142761
2021-10-08,SZ002382,5600,94575.84686279297
2021-10-08,SZ002774,11200,95626.91497802734
2021-10-08,SZ300677,2000,93835.00671386719
2021-10-08,SZ300888,1700,93893.0160522461
2021-11-01,SH600012,16300,87949.76196289062
2021-11-01,SH600097,9300,87311.5442276001
2021-11-01,SH600512,29000,87878.73864173889
2021-11-01,SH600643,14300,87685.8880519867
2021-11-01,SH600668,8000,87839.87426757812
2021-11-01,SH600694,5000,86486.29188537598
2021-11-01,SH600707,12700,87503.22842597961
2021-11-01,SH600746,6500,86747.43604660034
2021-11-01,SZ000581,4900,87326.61552429199
2021-11-01,SZ000949,13900,87792.67153739929
2021-11-01,SZ002022,6600,86897.52216339111
2021-11-01,SZ002109,16700,87446.36912345886
2021-11-01,SZ002270,10900,87302.87981033325
2021-11-01,SZ002322,9800,87171.62132263184
2021-11-01,SZ002382,6300,86734.39636230469
2021-11-01,SZ002774,12200,87967.03252792358
2021-11-01,SZ300259,21200,87807.70511627197
2021-11-01,SZ300360,11200,87240.9927368164
2021-11-01,SZ300677,2100,87224.22065734863
2021-11-01,SZ300888,1700,87074.37171936035
2021-12-01,SH600097,10200,98128.61938476562
2021-12-01,SH600512,32800,98443.9100265503
