trial,lookbacks,top_k,active_sleeve,minimum_excess_horizons,minimum_dispersion_iqr,rank_buffer,maximum_pair_correlation,minimum_adv20,initial_cash,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_risk_weight,longest_underwater_trading_days,worst_rolling_three_year_return,positive_day_ratio,average_active_exposure,maximum_active_exposure,gate_open_ratio,decision_count
grid_1432,63/126/252,4,0.4,3,0.05,1,0.85,20000000.0,1000000.0,3053,0.999032285461751,0.05883965309931516,0.3037230840842202,0.46926101047919805,0.729508505294586,0.19372795873164303,0.1440000541644745,118.46092110389903,9.77797317988292,231913.6014618389,0.008560246708939952,0.2603149980768355,1227,-0.24333825464055647,0.5201441205371765,0.2603149980768355,0.4699993601363247,0.7511664074650077,643
grid_1433,63/126/252,4,0.4,3,0.05,1,0.9,20000000.0,1000000.0,3053,1.0937975795072385,0.0628953697229635,0.3043399290295066,0.48779511151902377,0.7555424924431403,0.2066615771500217,0.14738909008638496,115.62180549227719,9.54362757420696,226742.72360667097,0.009256271392398669,0.2621738698732981,1227,-0.2471715992687208,0.5191614805109728,0.2621738698732981,0.4531473354803726,0.7511664074650077,643
grid_1434,63/126/252,4,0.4,3,0.05,1,0.95,20000000.0,1000000.0,3053,0.823759443708713,0.05084998353814796,0.3048941383987218,0.40683312205452554,0.6278666800893299,0.16677914441126276,0.14946657408226247,116.23438851911727,9.594191256736833,219485.50729593335,0.008411455201761908,0.2641197468056462,1229,-0.2657250000065752,0.5204716672125778,0.2641197468056462,0.4433961515723037,0.7511664074650077,643
grid_1435,63/126/252,4,0.4,3,0.05,2,0.85,20000000.0,1000000.0,3053,1.0064994813006862,0.05916556380214688,0.3023303006991036,0.4722367709527752,0.7347588840349532,0.19569842541529384,0.1436292721449472,114.49526770199883,9.450641159811235,225149.8624003085,0.007774329636891634,0.25990920213383795,1227,-0.2483667709420857,0.5204716672125778,0.25990920213383795,0.46113944315026323,0.7511664074650077,643
grid_1436,63/126/252,4,0.4,3,0.05,2,0.9,20000000.0,1000000.0,3053,1.0902678853175893,0.06274735574909895,0.30678231117394283,0.48847976187680087,0.755878061629048,0.20453381262103396,0.1466854492065326,112.99441196364224,9.32675788235763,221047.61489679432,0.009834028069534168,0.26295854822776027,1225,-0.26237724044854915,0.522109400589584,0.26295854822776027,0.45254311086015314,0.7511664074650077,643
grid_1437,63/126/252,4,0.4,3,0.05,2,0.95,20000000.0,1000000.0,3053,0.9181210324039795,0.05523474899697822,0.3091890346856101,0.4335748663460213,0.6696636776050949,0.17864394529108082,0.15005727317931092,109.90356920250301,9.071634274166641,210392.85597124533,0.009533483414694632,0.267178010472011,1231,-0.2564485927450637,0.5237471339665902,0.267178010472011,0.4456028138033594,0.7511664074650077,643
grid_1438,63/126/252,4,0.4,3,0.05,3,0.85,20000000.0,1000000.0,3053,0.8941872903121215,0.054141658604168086,0.3048429591155055,0.4382985579505183,0.6801029249149,0.17760508151888696,0.14403538995973744,112.6064608558273,9.29473571427071,216407.41318718318,0.008595947006067403,0.26105524234731786,1229,-0.24903814953879944,0.5188339338355715,0.26105524234731786,0.4570519421259317,0.7511664074650077,643
grid_1439,63/126/252,4,0.4,3,0.05,3,0.9,20000000.0,1000000.0,3053,1.009360851909166,0.05929015538743965,0.30652126481900643,0.4646984600559853,0.7180827351874967,0.19342917504418194,0.14740931393287923,107.15913728742187,8.845104027654868,208268.92321113966,0.008667054948106196,0.2639730344991323,1228,-0.2685240717832932,0.523419587291189,0.2639730344991323,0.46173132115253684,0.7511664074650077,643
grid_1440,63/126/252,4,0.4,3,0.05,3,0.95,20000000.0,1000000.0,3053,0.9022189472770568,0.054509882247389285,0.303158150784005,0.4314422522817893,0.6664366121390675,0.17980675138181143,0.14875325918715593,102.75876555598155,8.481889590601819,198413.4969645627,0.007931449511530896,0.2648375323104163,1228,-0.26175256280857984,0.5198165738617753,0.2648375323104163,0.44773425649232107,0.7511664074650077,643
grid_1441,63/126/252,4,0.4,3,0.1,1,0.85,20000000.0,1000000.0,3053,1.0662139662629113,0.061732530808286334,0.30098153564075125,0.49516564243429784,0.7673338645946755,0.205104046256079,0.1411557783327473,105.92411485155607,8.743163099440592,210540.8451816432,0.007376205897199395,0.20571298656615886,1228,-0.23640249628619459,0.5217818539141827,0.20571298656615886,0.45989516707127986,0.5738724727838258,643
grid_1442,63/126/252,4,0.4,3,0.1,1,0.9,20000000.0,1000000.0,3053,1.1146194587489973,0.0637638827146716,0.30448044698373644,0.50235084663709,0.7762288072608283,0.20941864525730117,0.14365928944395182,102.28956538098481,8.443160981332516,202659.6926618106,0.007236101985867989,0.20604478856303465,1229,-0.24122629665031536,0.5240746806419915,0.20604478856303465,0.4455794572036916,0.5738724727838258,643
grid_1443,63/126/252,4,0.4,3,0.1,1,0.95,20000000.0,1000000.0,3053,0.9283089616691247,0.05569625448734539,0.3087683095790765,0.4442890326909072,0.6848011068979108,0.1803820300187944,0.14609348929636734,104.0859918697487,8.591441189379847,202048.28910699335,0.006778635481632468,0.2078592071468727,1230,-0.24936540799352425,0.5266950540452014,0.2078592071468727,0.44641647517487526,0.5738724727838258,643
grid_1444,63/126/252,4,0.4,3,0.1,2,0.85,20000000.0,1000000.0,3053,1.0705917661675284,0.06191803244061278,0.3023107816385312,0.4967078279890468,0.770011914812126,0.20481582596894382,0.14103315027353056,103.25950265240427,8.523221312940018,206181.0047151643,0.006705085620244096,0.20545406211368378,1228,-0.23719322800820464,0.5244022273173927,0.20545406211368378,0.4598124834006375,0.5738724727838258,643
grid_1445,63/126/252,4,0.4,3,0.1,2,0.9,20000000.0,1000000.0,3053,1.1118033187191556,0.06364687716547457,0.3110423210242672,0.5017205657015301,0.7741112705137885,0.20462449275675546,0.14360646612574254,99.96231731498217,8.251065824885524,198774.17792937782,0.007321052391655768,0.20628362859709856,1229,-0.24385220609301494,0.526039960694399,0.20628362859709856,0.4478848896129267,0.5738724727838258,643
grid_1446,63/126/252,4,0.4,3,0.1,2,0.95,20000000.0,1000000.0,3053,0.9672615848457546,0.057440394441616194,0.3130485293557923,0.4561550286563427,0.7022803631890717,0.18348718826381344,0.1458308787277417,98.80919566154729,8.155885131578748,193326.61675439778,0.00658378170368906,0.2075346142433322,1231,-0.23644852823134066,0.5266950540452014,0.2075346142433322,0.4525773914773572,0.5738724727838258,643
grid_1447,63/126/252,4,0.4,3,0.1,3,0.85,20000000.0,1000000.0,3053,1.0113290337750906,0.05937576073592399,0.30179973609952004,0.48069958622941605,0.744500732372583,0.19673894186688262,0.14062313435683998,101.22599422246574,8.355371943682073,201035.19800887667,0.0071235932515832726,0.20572823043055458,1229,-0.2377881416278238,0.5237471339665902,0.20572823043055458,0.45992382501033324,0.5738724727838258,643
