trade_date,symbol,active_net_pnl_contribution,active_return_contribution
2026-01-30,SZ159583,5683.199999999988,0.002677510617762789
2026-01-30,SH560860,-19725.29999999999,-0.009293127144664346
2026-01-30,SH562800,-15755.199999999973,-0.007422704688375617
2026-02-02,SH510300,0.0,0.0
2026-02-02,SH511010,0.0,0.0
2026-02-02,SH518880,0.0,0.0
2026-02-02,SZ159583,-5836.800000000005,-0.0028308191493418068
2026-02-02,SH560860,-17725.500000000007,-0.008596779884809858
2026-02-02,SH562800,-12143.540240000011,-0.005889556992220875
2026-02-02,SZ159516,-8062.637659999995,-0.003910339412371913
2026-02-03,SH510300,0.0,0.0
2026-02-03,SH511010,0.0,0.0
2026-02-03,SH518880,0.0,0.0
2026-02-03,SZ159583,6758.400000000006,0.0034218422384980885
2026-02-03,SH560860,10726.200000000008,0.0054307771393492825
2026-02-03,SZ159516,6374.199999999981,0.0032273181221345927
2026-02-04,SH510300,0.0,0.0
2026-02-04,SH511010,0.0,0.0
2026-02-04,SH518880,0.0,0.0
2026-02-04,SZ159583,-4915.200000000004,-0.002432366484036398
2026-02-04,SH560860,1727.0999999999913,0.0008546834624388098
2026-02-04,SZ159516,-659.4000000000005,-0.0003263147907661134
2026-02-05,SH510300,0.0,0.0
2026-02-05,SH511010,0.0,0.0
2026-02-05,SH518880,0.0,0.0
2026-02-05,SZ159583,-5683.199999999988,-0.0027940933848277123
2026-02-05,SH560860,-8544.599999999988,-0.004200874566441246
2026-02-05,SZ159516,-329.699999999988,-0.00016209399440063086
2026-02-06,SH510300,0.0,0.0
2026-02-06,SH511010,0.0,0.0
2026-02-06,SH518880,0.0,0.0
2026-02-06,SZ159583,-2918.4000000000196,-0.0014539874285177594
2026-02-06,SH560860,454.49999999999,0.00022643821486475555
2026-02-06,SZ159516,-1099.000000000001,-0.0005475370696069792
2026-02-09,SH510300,0.0,0.0
2026-02-09,SH511010,0.0,0.0
2026-02-09,SH518880,0.0,0.0
2026-02-09,SZ159583,11059.20000000001,0.00554177955082276
2026-02-09,SH560860,4272.300000000014,0.0021408551047978276
2026-02-09,SZ159516,4286.099999999992,0.0021477703028050282
2026-02-10,SH510300,0.0,0.0
2026-02-10,SH511010,0.0,0.0
2026-02-10,SH518880,0.0,0.0
2026-02-10,SZ159583,-1382.3999999999842,-0.0006793440164627541
2026-02-10,SH560860,454.4999999999903,0.00022335203666255693
2026-02-10,SZ159516,-329.6999999999881,-0.00016202236850966763
2026-02-11,SH510300,0.0,0.0
2026-02-11,SH511010,0.0,0.0
2026-02-11,SH518880,0.0,0.0
2026-02-11,SZ159583,-4300.800000000004,-0.002115432769879792
2026-02-11,SH560860,4908.600000000005,0.0024143911119400923
2026-02-11,SZ159516,-2088.100000000014,-0.0010270729089439218
2026-02-12,SH510300,0.0,0.0
2026-02-12,SH511010,0.0,0.0
2026-02-12,SH518880,0.0,0.0
2026-02-12,SZ159583,3993.6000000000035,0.001964441237212606
2026-02-12,SH560860,1545.2999999999913,0.0007601289673138572
2026-02-12,SZ159516,1208.9000000000133,0.0005946547004372854
2026-02-13,SH510300,0.0,0.0
2026-02-13,SH511010,0.0,0.0
2026-02-13,SH518880,0.0,0.0
2026-02-13,SZ159583,-3840.0000000000205,-0.001882890669297468
2026-02-13,SH560860,-6362.999999999985,-0.0031200086793592963
2026-02-13,SZ159516,1978.2000000000016,0.0009699828963552694
2026-02-24,SH510300,0.0,0.0
2026-02-24,SH511010,0.0,0.0
2026-02-24,SH518880,0.0,0.0
2026-02-24,SZ159583,5990.400000000022,0.0029647074547651444
2026-02-24,SH560860,4635.899999999994,0.002294352178409733
2026-02-24,SZ159516,1208.8999999999887,0.0005982964146076283
2026-02-25,SH510300,0.0,0.0
2026-02-25,SH511010,0.0,0.0
2026-02-25,SH518880,0.0,0.0
2026-02-25,SZ159583,767.9999999999836,0.00037499468370055523
2026-02-25,SH560860,7999.200000000007,0.0039058040024186826
2026-02-25,SZ159516,9231.600000000008,0.004507553283919431
2026-02-26,SH510300,0.0,0.0
2026-02-26,SH511010,0.0,0.0
2026-02-26,SH518880,0.0,0.0
2026-02-26,SZ159583,5222.400000000005,0.0025228385899562036
2026-02-26,SH560860,-1181.7000000000112,-0.0005708559975779855
2026-02-26,SZ159516,2198.000000000002,0.0010618105125466712
2026-02-27,SH510300,0.0,0.0
2026-02-27,SH511010,0.0,0.0
2026-02-27,SH518880,0.0,0.0
2026-02-27,SZ159583,-3379.200000000003,-0.0016303733913999212
2026-02-27,SH560860,6635.700000000016,0.00320154732283158
2026-02-27,SZ159516,-4615.800000000004,-0.002226999733671803
2026-03-02,SH510300,0.0,0.0
2026-03-02,SH511010,0.0,0.0
2026-03-02,SH518880,0.0,0.0
2026-03-02,SZ159583,-4265.763840000003,-0.0020598320133357133
2026-03-02,SH560860,6635.699999999996,0.0032042156583360635
2026-03-02,SZ159516,-5760.023850000004,-0.002781373270726404
2026-03-02,SH562800,-779.6199999999816,-0.0003764592449254644
2026-03-02,SZ159363,3264.3929999999823,0.0015762947640132294
2026-03-03,SH510300,0.0,0.0
2026-03-03,SH511010,0.0,0.0
2026-03-03,SH518880,0.0,0.0
2026-03-03,SH560860,-11271.60000000001,-0.005405829159633607
2026-03-03,SH562800,-13940.000000000013,-0.006685586650102247
2026-03-03,SZ159363,-7997.999999999987,-0.0038358193706971044
2026-03-04,SH510300,0.0,0.0
2026-03-04,SH511010,0.0,0.0
2026-03-04,SH518880,0.0,0.0
2026-03-04,SH560860,999.9000000000106,0.0004901419870205742
2026-03-04,SH562800,0.0,0.0
2026-03-04,SZ159363,-3720.0000000000036,-0.001823510542770796
2026-03-05,SH510300,0.0,0.0
2026-03-05,SH511010,0.0,0.0
2026-03-05,SH518880,0.0,0.0
2026-03-05,SH560860,-1272.6000000000213,-0.0006294089031083167
2026-03-05,SH562800,-1530.00000000002,-0.0007567150886026411
