entry_date,symbol,local_symbol,exit_date
2022-02-18,159980.XSHE,SZ159980,2022-02-22
2022-02-22,515220.XSHG,SH515220,2022-02-23
2022-02-23,159985.XSHE,SZ159985,2022-02-24
2022-02-24,515220.XSHG,SH515220,2022-02-25
2022-02-25,159985.XSHE,SZ159985,2022-03-02
2022-03-02,512400.XSHG,SH512400,2022-03-03
2022-03-03,159985.XSHE,SZ159985,2022-03-31
2022-03-31,513100.XSHG,SH513100,2022-04-15
2022-04-21,518880.XSHG,SH518880,2022-04-29
2022-05-10,518880.XSHG,SH518880,2022-05-11
2022-05-23,513160.XSHG,SH513160,2022-05-25
2022-05-31,516160.XSHG,SH516160,2022-06-01
2022-06-01,159840.XSHE,SZ159840,2022-06-02
2022-06-02,516590.XSHG,SH516590,2022-06-06
2022-06-06,561910.XSHG,SH561910,2022-06-07
2022-06-07,515220.XSHG,SH515220,2022-06-09
2022-06-09,515250.XSHG,SH515250,2022-06-10
2022-06-10,159886.XSHE,SZ159886,2022-06-14
2022-06-14,159761.XSHE,SZ159761,2022-06-20
2022-06-20,159881.XSHE,SZ159881,2022-06-22
2022-06-22,159861.XSHE,SZ159861,2022-06-24
2022-06-24,512580.XSHG,SH512580,2022-06-27
2022-06-27,159915.XSHE,SZ159915,2022-06-28
2022-06-28,513060.XSHG,SH513060,2022-06-29
