execution_date,symbol,shares,market_value_at_open
2021-10-08,SZ002110,137600,1081468.4371948242
2021-10-08,SZ002270,155900,1103721.8093395233
2021-10-08,SZ002382,65300,1102821.9285964966
2021-10-08,SZ002467,286900,1103900.717997551
2021-10-08,SZ002543,146600,1103199.7564315796
2021-10-08,SZ002774,129200,1103124.7692108154
2021-10-08,SZ300677,23500,1102561.3288879395
2021-11-01,SH600012,184500,995504.9743652344
2021-11-01,SH600033,394700,995884.8453521729
2021-11-01,SH600097,106000,995163.8374328613
2021-11-01,SH600449,99600,995649.0268707275
2021-11-01,SH600668,90700,995884.574508667
2021-11-01,SH600746,74600,995593.6506271362
2021-11-01,SH601000,451600,995915.2445793152
2021-11-01,SH601019,175100,995638.699388504
2021-11-01,SH603886,55800,995501.7024993896
2021-11-01,SH688298,13100,990203.5659790039
2021-11-01,SZ000026,90500,926884.8266601562
2021-11-01,SZ000666,125700,996005.4156303406
2021-11-01,SZ000949,157600,995404.6787261963
2021-11-01,SZ002022,75600,995371.6175079346
2021-11-01,SZ002109,190200,995946.0722923279
2021-11-01,SZ002131,436800,995929.0855407715
2021-11-01,SZ002322,111900,995357.5944900513
2021-11-01,SZ300259,240400,995706.2410354614
2021-11-01,SZ300360,127800,995482.0421218872
2021-11-01,SZ300677,23900,992694.7017669678
2021-12-01,SH600327,199600,1097237.7912521362
2021-12-01,SH600449,109000,1097605.0186157227
2021-12-01,SH600566,62700,1096946.478652954
2021-12-01,SH600585,34400,1096165.5059814453
2021-12-01,SH600746,84400,1097028.314590454
2021-12-01,SH601000,494200,1097450.511264801
2021-12-01,SH603886,60200,1097559.9910736084
2021-12-01,SH603898,109000,1096851.2735366821
2021-12-01,SZ000026,96500,1096760.302066803
2021-12-01,SZ000666,135800,1097499.048423767
2021-12-01,SZ000725,234600,1058359.8378181458
2021-12-01,SZ000807,105400,1097308.5706710815
2021-12-01,SZ000883,248700,1097229.69789505
2021-12-01,SZ000949,185800,1097615.5873298645
2021-12-01,SZ002022,77800,1096323.618888855
2021-12-01,SZ002109,207200,1097323.0003356934
2021-12-01,SZ002255,165200,1097122.7060317993
2021-12-01,SZ002322,93500,1096779.121875763
2021-12-01,SZ300259,236700,1097352.0722866058
2021-12-01,SZ300677,21100,1092724.5887756348
2022-01-04,SH600089,56900,1179417.2674179077
