model,trade_date,symbol,shares,close,market_value
m4,2024-08-27,SH513100,1610000,7.21,11608100.0
m4,2024-08-28,SH513100,1610000,7.21,11608100.0
m4,2024-08-29,SH513100,1610000,7.035,11326350.0
m4,2024-08-30,SH513100,1610000,7.085,11406850.0
m4,2024-09-02,SH513100,1610000,7.1450000000000005,11503450.0
m4,2024-09-03,SH513100,1610000,7.155,11519550.0
m4,2024-09-04,SH513100,1610000,6.78,10915800.0
m4,2024-09-05,SH513100,1610000,6.800000000000001,10948000.000000002
m4,2024-09-06,SH513100,1610000,6.86,11044600.0
m4,2024-09-09,SH513100,1610000,6.82,10980200.0
m4,2024-09-10,SH513100,1610000,6.840000000000001,11012400.000000002
m4,2024-09-11,SH513100,1610000,6.885,11084850.0
m4,2024-09-12,SH513100,1610000,7.105,11439050.0
m4,2024-09-13,SH513100,1610000,7.175000000000001,11551750.000000002
m4,2024-09-18,SH513100,1610000,7.119999999999999,11463199.999999998
m4,2024-09-19,SH513100,1610000,7.199999999999999,11591999.999999998
m4,2024-09-20,SH513100,1610000,7.215,11616150.0
m4,2024-09-23,SH513100,1610000,7.245,11664450.0
m4,2024-09-24,SH513100,1610000,7.205,11600050.0
m4,2024-09-25,SH513100,1610000,7.1499999999999995,11511500.0
m4,2024-09-26,SH513100,1610000,7.2250000000000005,11632250.0
m4,2024-09-27,SH513100,1610000,7.069999999999999,11382699.999999998
m4,2024-09-30,SZ159915,5613300,2.232,12528885.600000001
m4,2024-10-08,SZ159915,5613300,2.678,15032417.4
m4,2024-10-09,SZ159915,5613300,2.242,12585018.6
m4,2024-10-10,SZ159915,5613300,2.174,12203314.2
m4,2024-10-11,SZ159915,5613300,2.06,11563398.0
m4,2024-10-14,SZ159915,5613300,2.116,11877742.8
m4,2024-10-15,SZ159915,5613300,2.045,11479198.5
m4,2024-10-16,SZ159915,5613300,2.0,11226600.0
m4,2024-10-17,SZ159915,5613300,1.995,11198533.5
m4,2024-10-18,SZ159915,5613300,2.156,12102274.8
m4,2024-10-21,SZ159915,5613300,2.167,12164021.1
m4,2024-10-22,SZ159915,5613300,2.175,12208927.499999998
m4,2024-10-23,SZ159915,5613300,2.162,12135954.6
m4,2024-10-24,SZ159915,5613300,2.132,11967555.600000001
m4,2024-10-25,SZ159915,5613300,2.196,12326806.8
m4,2024-10-28,SH513100,1668400,7.365,12287766.0
m4,2024-10-29,SH513100,1668400,7.35,12262740.0
m4,2024-10-30,SH513100,1668400,7.42,12379528.0
m4,2024-10-31,SH513100,1668400,7.295,12170978.0
m4,2024-11-01,SH513100,1668400,7.21,12029164.0
m4,2024-11-04,SH513100,1668400,7.215,12037506.0
m4,2024-11-05,SH513100,1668400,7.1899999999999995,11995796.0
m4,2024-11-06,SH513100,1668400,7.445,12421238.0
m4,2024-11-07,SH513100,1668400,7.5600000000000005,12613104.0
m4,2024-11-08,SH513100,1668400,7.625,12721550.0
m4,2024-11-11,SH513100,1668400,7.67,12796628.0
m4,2024-11-12,SH513100,1668400,7.68,12813312.0
m4,2024-11-13,SH513100,1668400,7.635,12738234.0
m4,2024-11-14,SH513100,1668400,7.645,12754918.0
m4,2024-11-15,SH513100,1668400,7.55,12596420.0
m4,2024-11-18,SH513100,1668400,7.495000000000001,12504658.000000002
m4,2024-11-19,SH513100,1668400,7.52,12546368.0
m4,2024-11-20,SH513100,1668400,7.6049999999999995,12688182.0
m4,2024-11-21,SH513100,1668400,7.55,12596420.0
m4,2024-11-22,SH513100,1668400,7.6049999999999995,12688182.0
m4,2024-11-25,SH513100,1668400,7.68,12813312.0
m4,2024-11-26,SH513100,1668400,7.68,12813312.0
m4,2024-11-27,SH513100,1668400,7.7,12846680.0
m4,2024-11-28,SH513100,1668400,7.654999999999999,12771601.999999998
m4,2024-11-29,SH513100,1668400,7.66,12779944.0
m4,2024-12-02,SH513100,1668400,7.7,12846680.0
m4,2024-12-03,SH513100,1668400,7.84,13080256.0
m4,2024-12-04,SH513100,1668400,7.875,13138650.0
m4,2024-12-05,SH513100,1668400,7.945,13255438.0
m4,2024-12-06,SH513100,1668400,7.92,13213728.0
m4,2024-12-09,SH513100,1668400,8.05,13430620.000000002
m4,2024-12-10,SH513100,1668400,7.984999999999999,13322173.999999998
m4,2024-12-11,SH513100,1668400,7.965,13288806.0
m4,2024-12-12,SH513100,1668400,8.085,13489014.000000002
m4,2024-12-13,SH513100,1668400,8.145,13589118.0
m4,2024-12-16,SH513100,1668400,8.245000000000001,13755958.000000002
m4,2024-12-17,SH513100,1668400,8.315,13872746.0
m4,2024-12-18,SH513100,1668400,8.37,13964507.999999998
m4,2024-12-19,SH513100,1668400,8.149999999999999,13597459.999999998
m4,2024-12-20,SH513100,1668400,7.984999999999999,13322173.999999998
