trade_date,symbol,shares,adjusted_close,market_value
2023-10-10,SH511880,3700,134.67427647667577,498294.82296370034
2023-10-11,SH511880,3700,134.65569815187555,498226.0831619396
2023-10-12,SH511880,3700,134.65702517507557,498230.9931477796
2023-10-13,SH515120,775900,0.654,507438.60000000003
2023-10-16,SH511880,3700,134.6809115926758,498319.3728929005
2023-10-17,SH511880,3700,134.6888737318759,498348.83280794084
2023-10-18,SH511880,3700,134.71674121907623,498451.94251058204
2023-10-19,SH511880,3700,134.73133847427638,498505.9523548226
2023-10-20,SH511880,3700,134.72735740467633,498491.2223973024
2023-10-23,SH511880,3700,134.73133847427638,498505.9523548226
2023-10-24,SH511880,3700,134.73133847427638,498505.9523548226
2023-10-25,SH511880,3700,134.7154141958762,498447.03252474195
2023-10-26,SH511880,3700,134.7140871726762,498442.12253890187
2023-10-27,SH511880,3700,134.7326654974764,498510.8623406627
2023-10-30,SH511880,3700,134.7432816830765,498550.14222738304
2023-10-31,SH511880,3700,134.75522489187662,498594.3320999435
2023-11-01,SH561980,476300,1.054,502020.2
2023-11-02,SH561980,476300,1.036,493446.8
2023-11-03,SH513120,557500,0.893,497847.5
2023-11-06,SH513120,557500,0.935,521262.50000000006
2023-11-07,SH513120,557500,0.92,512900.0
2023-11-08,SH513120,557500,0.927,516802.5
2023-11-09,SH513120,557500,0.917,511227.5
2023-11-10,SH513120,557500,0.901,502307.5
2023-11-13,SZ159892,812200,0.615,499503.0
2023-11-14,SZ159985,213500,2.344,500443.99999999994
2023-11-15,SZ159506,464300,1.077,500051.1
2023-11-16,SZ159892,801900,0.61,489159.0
2023-11-17,SH513310,389200,1.241,482997.2
2023-11-20,SH513310,389200,1.233,479883.60000000003
2023-11-21,SH513310,389200,1.228,477937.6
2023-11-22,SZ159509,463000,1.034,478742.0
2023-11-23,SZ159509,463000,1.038,480594.0
2023-11-24,SZ159509,463000,1.035,479204.99999999994
2023-11-27,SZ159509,463000,1.026,475038.0
2023-11-28,SZ159509,463000,1.029,476426.99999999994
