family,split,train_blocks,test_blocks,selected_trial,is_sharpe,oos_sharpe,oos_percentile,logit,below_oos_median
dual-ma,21,0;2;4;6,1;3;5;7,dual-ma__fast-50-slow-100,1.0618958377263945,-0.3252467746116202,0.25,-1.0986122886681098,True
dual-ma,22,0;2;4;7,1;3;5;6,dual-ma__fast-50-slow-100,0.15800862847405472,0.40967401633291417,0.4166666666666667,-0.33647223662121273,True
dual-ma,23,0;2;5;6,1;3;4;7,dual-ma__fast-20-slow-100,0.7645186106920481,-0.21109189778753198,0.4166666666666667,-0.33647223662121273,True
dual-ma,24,0;2;5;7,1;3;4;6,dual-ma__fast-10-slow-50,0.11355044488106189,0.12753518778068135,0.08333333333333333,-2.3978952727983707,True
dual-ma,25,0;2;6;7,1;3;4;5,dual-ma__fast-10-slow-50,0.8737088623844849,-0.9721736801001986,0.08333333333333333,-2.3978952727983707,True
dual-ma,26,0;3;4;5,1;2;6;7,dual-ma__fast-50-slow-100,0.3665308759148522,0.227318753408823,0.25,-1.0986122886681098,True
dual-ma,27,0;3;4;6,1;2;5;7,dual-ma__fast-50-slow-100,1.188487555080045,-0.3294016606846343,0.4166666666666667,-0.33647223662121273,True
dual-ma,28,0;3;4;7,1;2;5;6,dual-ma__fast-50-slow-100,0.18676525322586796,0.3587195976984263,0.4166666666666667,-0.33647223662121273,True
dual-ma,29,0;3;5;6,1;2;4;7,dual-ma__fast-20-slow-100,0.9176682070100529,-0.2755867713202866,0.25,-1.0986122886681098,True
dual-ma,30,0;3;5;7,1;2;4;6,dual-ma__fast-50-slow-200,0.061653597786080476,0.6706122382204939,0.5833333333333334,0.336472236621213,False
dual-ma,31,0;3;6;7,1;2;4;5,dual-ma__fast-10-slow-50,0.7484507045220803,-0.7298796150664493,0.08333333333333333,-2.3978952727983707,True
dual-ma,32,0;4;5;6,1;2;3;7,dual-ma__fast-50-slow-100,0.9626290462988334,-0.3547233410202778,0.4166666666666667,-0.33647223662121273,True
dual-ma,33,0;4;5;7,1;2;3;6,dual-ma__fast-50-slow-100,0.15328673057327416,0.45556214999378986,0.4166666666666667,-0.33647223662121273,True
