trade_date,observation_date,temperature,market_height,recent_60d_gain,rank,buy_eligible,symbol,report_date,notice_date,quarter_operating_cash_flow,quarter_deducted_parent_net_profit,quarter_net_profit,quarter_roe,quarter_roa,previous_quarter_net_profit,net_profit_yoy,pb,paused,is_st,cash_profit_ratio,score
2020-01-23,2020-01-23,hot,0.8657524934946508,0.17934565007964554,5,True,SZ000661,2019-09-30,2019-10-24,727050751.0,513433248.06000006,766874916.0199999,7.0796264582321955,7.299304585629741,439780522.2900001,74.3767350192711,12.46549833,False,False,1.4160570117871223,7.299304585629741
2020-01-23,2020-01-23,hot,0.8657524934946508,0.17934565007964554,6,False,SZ002555,2019-09-30,2019-10-31,1280990291.31,467927409.2099999,604468560.4799998,8.057294828433267,6.523958736963823,456699287.21000004,32.355923779239944,9.73894996,False,False,2.737583364634893,6.523958736963823
2020-02-28,2020-02-28,hot,0.7918666134069398,0.17934565007964554,1,True,SZ002714,2019-12-31,2020-02-27,5263064526.96,4588073843.26,4882027191.94,18.271469666677394,10.834501651972676,177888217.14000005,2644.4353934346245,12.43879818,False,False,1.1471185309477046,10.834501651972676
2020-02-28,2020-02-28,hot,0.7918666134069398,0.17934565007964554,2,True,SH603160,2019-09-30,2019-10-25,981163663.3599999,659172944.25,695469569.23,12.986556672613462,9.566736657498117,206506905.84000003,236.7778750066811,21.94497946,False,False,1.4884768434729334,9.566736657498117
2020-02-28,2020-02-28,hot,0.7918666134069398,0.17934565007964554,3,True,SZ300033,2019-12-31,2020-02-25,505080423.5400001,386059085.3000001,439316049.2,11.647858775530214,8.855153727076567,315395073.09,39.2907139911594,16.63843672,False,False,1.308298244419013,8.855153727076567
2020-02-28,2020-02-28,hot,0.7918666134069398,0.17934565007964554,4,True,SZ002841,2019-09-30,2019-10-26,2174823978.35,808486165.1600001,854049223.57,19.321657099978225,8.82909727249447,494108275.84000003,72.84657337869696,12.59169775,False,False,2.6899952925225388,8.82909727249447
2020-02-28,2020-02-28,hot,0.7918666134069398,0.17934565007964554,5,True,SZ300498,2019-09-30,2019-10-23,6084912873.450001,4505858383.49,4889094171.87,12.851318866986333,8.76043144361068,2088588419.94,134.08605186130694,3.83010782,False,False,1.3504447666943649,8.76043144361068
2020-02-28,2020-02-28,hot,0.7918666134069398,0.17934565007964554,6,False,SZ002007,2019-09-30,2019-10-28,221924800.25,429548673.6999999,517758151.21,7.296460128510504,7.522686704771564,315880691.96,63.909401362069886,8.89894756,False,False,0.5166464567063103,7.522686704771564
2020-03-31,2020-03-31,hot,0.24817417925321314,0.19160354781812505,1,True,SZ002714,2019-12-31,2020-02-27,5263064526.96,4588073843.26,4882027191.94,18.271469666677394,10.834501651972676,177888217.14000005,2644.4353934346245,10.73838531,False,False,1.1471185309477046,10.834501651972676
2020-03-31,2020-03-31,hot,0.24817417925321314,0.19160354781812505,2,True,SH603160,2019-09-30,2019-10-25,981163663.3599999,659172944.25,695469569.23,12.986556672613462,9.566736657498117,206506905.84000003,236.7778750066811,17.7457427,False,False,1.4884768434729334,9.566736657498117
2020-03-31,2020-03-31,hot,0.24817417925321314,0.19160354781812505,3,True,SZ300033,2019-12-31,2020-02-25,505080423.5400001,386059085.3000001,439316049.2,11.647858775530214,8.855153727076567,315395073.09,39.2907139911594,15.91390499,False,False,1.308298244419013,8.855153727076567
2020-03-31,2020-03-31,hot,0.24817417925321314,0.19160354781812505,4,True,SZ002841,2019-09-30,2019-10-26,2174823978.35,808486165.1600001,854049223.57,19.321657099978225,8.82909727249447,494108275.84000003,72.84657337869696,10.41286589,False,False,2.6899952925225388,8.82909727249447
2020-03-31,2020-03-31,hot,0.24817417925321314,0.19160354781812505,5,True,SZ300498,2019-09-30,2019-10-23,6084912873.450001,4505858383.49,4889094171.87,12.851318866986333,8.76043144361068,2088588419.94,134.08605186130694,3.64948149,False,False,1.3504447666943649,8.76043144361068
2020-03-31,2020-03-31,hot,0.24817417925321314,0.19160354781812505,6,False,SH603288,2019-12-31,2020-03-26,3367753804.2700005,1446097616.2699995,1518949459.2200003,9.58471308050585,6.694093330784555,1234099332.9299998,23.08162063532673,18.57724423,False,False,2.3288564799357294,6.694093330784555
2020-04-30,2020-04-30,hot,0.47217691943707857,0.19160354781812505,1,True,SZ002714,2020-03-31,2020-04-27,4384756332.22,4188743361.16,4544901139.1,11.37677531530692,7.3387816478849714,-556841708.79,916.1926571513352,11.19442181,False,False,1.0467951731962204,7.3387816478849714
