date,code,amount,avg_cost,last_price,market_value
2014-05-08,159915.XSHE,307900,1.2546292758999997,1.252,385490.8
2014-05-09,511010.XSHG,6000,94.71091838890615,95.891,575346.0
2014-05-09,159915.XSHE,307900,1.2546292758999997,1.23,378717.0
2014-05-12,511010.XSHG,6000,94.71091838890615,95.803,574818.0
2014-05-12,159915.XSHE,311300,1.2544553692566973,1.252,389747.6
2014-05-13,511010.XSHG,6000,94.71091838890615,95.771,574626.0
2014-05-13,159915.XSHE,311300,1.2544553692566973,1.245,387568.50000000006
2014-05-14,511010.XSHG,6000,94.71091838890615,95.648,573888.0
2014-05-14,159915.XSHE,311300,1.2544553692566973,1.253,390058.89999999997
2014-05-15,511010.XSHG,6000,94.71091838890615,95.73,574380.0
2014-05-15,159915.XSHE,311300,1.2544553692566973,1.223,380719.9
2014-05-16,511010.XSHG,6000,94.71091838890615,95.737,574422.0
2014-05-16,159915.XSHE,311300,1.2544553692566973,1.202,374182.6
2014-05-19,511010.XSHG,5900,94.71091838890615,95.675,564482.5
2014-05-19,159915.XSHE,317400,1.2533514365142089,1.203,381832.2
2014-05-20,511010.XSHG,5900,94.71091838890615,95.689,564565.1
2014-05-20,159915.XSHE,317400,1.2533514365142089,1.22,387228.0
2014-05-21,511010.XSHG,5900,94.71091838890615,95.638,564264.2000000001
2014-05-21,159915.XSHE,317400,1.2533514365142089,1.234,391671.6
2014-05-22,511010.XSHG,5900,94.71091838890615,95.758,564972.2
2014-05-22,159915.XSHE,317400,1.2533514365142089,1.242,394210.8
2014-05-23,511010.XSHG,5900,94.71091838890615,95.826,565373.3999999999
2014-05-23,159915.XSHE,317400,1.2533514365142089,1.27,403098.0
2014-05-26,511010.XSHG,6100,94.75064454466005,95.946,585270.6
2014-05-26,159915.XSHE,305500,1.2533514365142089,1.289,393789.5
2014-05-27,511010.XSHG,6100,94.75064454466005,96.215,586911.5
2014-05-27,159915.XSHE,305500,1.2533514365142089,1.277,390123.5
2014-05-28,511010.XSHG,6100,94.75064454466005,96.218,586929.8
2014-05-28,159915.XSHE,305500,1.2533514365142089,1.314,401427.0
2014-05-29,511010.XSHG,6100,94.75064454466005,96.381,587924.1
2014-05-29,159915.XSHE,305500,1.2533514365142089,1.287,393178.5
2014-05-30,511010.XSHG,6100,94.75064454466005,96.486,588564.6
2014-05-30,159915.XSHE,305500,1.2533514365142089,1.291,394400.5
2014-06-03,511010.XSHG,6100,94.75064454466005,96.643,589522.3
2014-06-03,159915.XSHE,304600,1.2533514365142089,1.287,392020.19999999995
2014-06-04,511010.XSHG,6100,94.75064454466005,97.041,591950.1
2014-06-04,159915.XSHE,304600,1.2533514365142089,1.295,394457.0
2014-06-05,511010.XSHG,6100,94.75064454466005,96.451,588351.1
2014-06-05,159915.XSHE,304600,1.2533514365142089,1.325,403595.0
2014-06-06,511010.XSHG,6100,94.75064454466005,96.52,588772.0
2014-06-06,159915.XSHE,304600,1.2533514365142089,1.321,402376.6
2014-06-09,511010.XSHG,6100,94.75064454466005,96.554,588979.4
2014-06-09,159915.XSHE,301300,1.2533514365142089,1.294,389882.2
2014-06-10,511010.XSHG,6100,94.75064454466005,96.535,588863.5
2014-06-10,159915.XSHE,301300,1.2533514365142089,1.324,398921.2
2014-06-11,511010.XSHG,6100,94.75064454466005,96.614,589345.4
2014-06-11,159915.XSHE,301300,1.2533514365142089,1.337,402838.1
2014-06-12,511010.XSHG,6100,94.75064454466005,96.439,588277.8999999999
2014-06-12,159915.XSHE,301300,1.2533514365142089,1.334,401934.2
2014-06-13,511010.XSHG,6100,94.75064454466005,96.398,588027.7999999999
2014-06-13,159915.XSHE,301300,1.2533514365142089,1.35,406755.0
2014-06-16,511010.XSHG,6200,94.78025414877844,96.784,600060.8
2014-06-16,159915.XSHE,296200,1.2533514365142089,1.363,403720.6
2014-06-17,511010.XSHG,6200,94.78025414877844,96.579,598789.7999999999
2014-06-17,159915.XSHE,296200,1.2533514365142089,1.35,399870.0
2014-06-18,511010.XSHG,6200,94.78025414877844,96.591,598864.2
2014-06-18,159915.XSHE,296200,1.2533514365142089,1.337,396019.39999999997
2014-06-19,511010.XSHG,6200,94.78025414877844,96.556,598647.2
2014-06-19,159915.XSHE,296200,1.2533514365142089,1.291,382394.19999999995
2014-06-20,511010.XSHG,6200,94.78025414877844,96.642,599180.4
2014-06-20,159915.XSHE,296200,1.2533514365142089,1.305,386541.0
2014-06-23,511010.XSHG,6100,94.78025414877844,96.652,589577.2
2014-06-23,159915.XSHE,302900,1.2545392505629207,1.332,403462.80000000005
2014-06-24,511010.XSHG,6100,94.78025414877844,96.889,591022.9
2014-06-24,159915.XSHE,302900,1.2545392505629207,1.342,406491.80000000005
2014-06-25,511010.XSHG,6100,94.78025414877844,96.86,590846.0
2014-06-25,159915.XSHE,302900,1.2545392505629207,1.328,402251.2
2014-06-26,511010.XSHG,6100,94.78025414877844,96.672,589699.2
2014-06-26,159915.XSHE,302900,1.2545392505629207,1.355,410429.5
2014-06-27,511010.XSHG,6100,94.78025414877844,96.596,589235.6
2014-06-27,159915.XSHE,302900,1.2545392505629207,1.357,411035.3
2014-06-30,511010.XSHG,6200,94.8121470012175,96.543,598566.6000000001
2014-06-30,159915.XSHE,295900,1.2545392505629207,1.372,405974.80000000005
2014-07-01,511010.XSHG,6200,94.8121470012175,96.446,597965.2
2014-07-01,159915.XSHE,295900,1.2545392505629207,1.381,408637.9
2014-07-02,511010.XSHG,6200,94.8121470012175,96.371,597500.2
2014-07-02,159915.XSHE,295900,1.2545392505629207,1.389,411005.1
2014-07-03,511010.XSHG,6200,94.8121470012175,96.386,597593.2
2014-07-03,159915.XSHE,295900,1.2545392505629207,1.389,411005.1
2014-07-04,511010.XSHG,6200,94.8121470012175,96.384,597580.8
2014-07-04,159915.XSHE,295900,1.2545392505629207,1.381,408637.9
2014-07-07,159915.XSHE,195900,1.2545392505629207,1.364,267207.60000000003
2014-07-07,159902.XSHE,148700,2.2569308761999998,2.249,334426.3
2014-07-07,510050.XSHG,327000,1.2326006692999998,1.232,402864.0
2014-07-08,159915.XSHE,195900,1.2545392505629207,1.381,270537.9
2014-07-08,159902.XSHE,148700,2.2569308761999998,2.26,336061.99999999994
2014-07-08,510050.XSHG,327000,1.2326006692999998,1.229,401883.00000000006
2014-07-09,159915.XSHE,195900,1.2545392505629207,1.353,265052.7
2014-07-09,159902.XSHE,148700,2.2569308761999998,2.215,329370.5
2014-07-09,510050.XSHG,327000,1.2326006692999998,1.216,397632.0
2014-07-10,159915.XSHE,195900,1.2545392505629207,1.332,260938.80000000002
2014-07-10,159902.XSHE,148700,2.2569308761999998,2.191,325801.69999999995
2014-07-10,510050.XSHG,327000,1.2326006692999998,1.216,397632.0
2014-07-11,159915.XSHE,195900,1.2545392505629207,1.329,260351.1
2014-07-11,159902.XSHE,148700,2.2569308761999998,2.202,327437.39999999997
2014-07-11,510050.XSHG,327000,1.2326006692999998,1.221,399267.0
2014-07-14,159915.XSHE,296900,1.280457316113089,1.338,397252.2
2014-07-14,511010.XSHG,6100,96.20793672489998,96.187,586740.7
2014-07-15,159915.XSHE,296900,1.280457316113089,1.311,389235.89999999997
2014-07-15,511010.XSHG,6100,96.20793672489998,96.112,586283.2
2014-07-16,159915.XSHE,296900,1.280457316113089,1.289,382704.1
2014-07-16,511010.XSHG,6100,96.20793672489998,95.884,584892.4
2014-07-17,159915.XSHE,296900,1.280457316113089,1.282,380625.8
2014-07-17,511010.XSHG,6100,96.20793672489998,95.585,583068.5
2014-07-18,159915.XSHE,296900,1.280457316113089,1.279,379735.1
2014-07-18,511010.XSHG,6100,96.20793672489998,95.554,582879.4
2014-07-21,511010.XSHG,6000,96.20793672489998,95.604,573624.0
2014-07-21,510050.XSHG,312700,1.2376071707999996,1.235,386184.50000000006
2014-07-22,511010.XSHG,6000,96.20793672489998,95.691,574146.0
2014-07-22,510050.XSHG,312700,1.2376071707999996,1.25,390875.0
2014-07-23,511010.XSHG,6000,96.20793672489998,95.7,574200.0
2014-07-23,510050.XSHG,312700,1.2376071707999996,1.26,394002.0
2014-07-24,511010.XSHG,6000,96.20793672489998,95.661,573966.0
2014-07-24,510050.XSHG,312700,1.2376071707999996,1.288,402757.60000000003
2014-07-25,511010.XSHG,6000,96.20793672489998,95.819,574914.0
2014-07-25,510050.XSHG,312700,1.2376071707999996,1.301,406822.69999999995
2014-07-28,511010.XSHG,2000,96.20793672489998,95.816,191632.0
2014-07-28,510050.XSHG,302900,1.2376071707999996,1.343,406794.7
2014-07-28,159901.XSHE,298100,1.3287254980999998,1.354,403627.4
2014-07-29,511010.XSHG,2000,96.20793672489998,95.793,191586.0
2014-07-29,510050.XSHG,302900,1.2376071707999996,1.345,407400.5
2014-07-29,159901.XSHE,298100,1.3287254980999998,1.366,407204.60000000003
2014-07-30,511010.XSHG,2000,96.20793672489998,95.963,191926.0
2014-07-30,510050.XSHG,302900,1.2376071707999996,1.339,405583.1
2014-07-30,159901.XSHE,298100,1.3287254980999998,1.364,406608.4
2014-07-31,511010.XSHG,2000,96.20793672489998,95.982,191964.0
2014-07-31,510050.XSHG,302900,1.2376071707999996,1.358,411338.2
2014-07-31,159901.XSHE,298100,1.3287254980999998,1.386,413166.6
2014-08-01,511010.XSHG,2000,96.20793672489998,96.455,192910.0
2014-08-01,510050.XSHG,302900,1.2376071707999996,1.344,407097.60000000003
2014-08-01,159901.XSHE,298100,1.3287254980999998,1.366,407204.60000000003
2014-08-04,511010.XSHG,2500,96.27362202457998,96.463,241157.49999999997
2014-08-04,510050.XSHG,301200,1.2376071707999996,1.374,413848.80000000005
2014-08-04,510500.XSHG,35500,3.4895315454999998,3.532,125386.0
2014-08-04,159915.XSHE,187200,1.2866708854999998,1.299,243172.8
2014-08-05,511010.XSHG,2500,96.27362202457998,96.541,241352.5
2014-08-05,510050.XSHG,301200,1.2376071707999996,1.363,410535.6
2014-08-05,510500.XSHG,35500,3.4895315454999998,3.546,125883.0
2014-08-05,159915.XSHE,187200,1.2866708854999998,1.332,249350.40000000002
2014-08-06,511010.XSHG,2500,96.27362202457998,96.635,241587.5
2014-08-06,510050.XSHG,301200,1.2376071707999996,1.352,407222.4
2014-08-06,510500.XSHG,35500,3.4895315454999998,3.573,126841.5
2014-08-06,159915.XSHE,187200,1.2866708854999998,1.335,249912.0
2014-08-07,511010.XSHG,2500,96.27362202457998,96.466,241164.99999999997
2014-08-07,510050.XSHG,301200,1.2376071707999996,1.331,400897.2
2014-08-07,510500.XSHG,35500,3.4895315454999998,3.541,125705.5
2014-08-07,159915.XSHE,187200,1.2866708854999998,1.332,249350.40000000002
2014-08-08,511010.XSHG,2500,96.27362202457998,96.558,241395.00000000003
2014-08-08,510050.XSHG,301200,1.2376071707999996,1.335,402102.0
2014-08-08,510500.XSHG,35500,3.4895315454999998,3.558,126309.0
2014-08-08,159915.XSHE,187200,1.2866708854999998,1.347,252158.4
2014-08-11,511010.XSHG,2200,96.27362202457998,96.602,212524.4
2014-08-11,510050.XSHG,255800,1.2376071707999996,1.353,346097.4
2014-08-11,510500.XSHG,37600,3.4943581613098402,3.614,135886.4
2014-08-11,159901.XSHE,239200,1.3898048163999999,1.403,335597.60000000003
2014-08-12,511010.XSHG,2200,96.27362202457998,96.537,212381.40000000002
2014-08-12,510050.XSHG,255800,1.2376071707999996,1.343,343539.39999999997
2014-08-12,510500.XSHG,37600,3.4943581613098402,3.635,136676.0
2014-08-12,159901.XSHE,239200,1.3898048163999999,1.4,334880.0
2014-08-13,511010.XSHG,2200,96.27362202457998,96.609,212539.8
2014-08-13,510050.XSHG,255800,1.2376071707999996,1.346,344306.80000000005
2014-08-13,510500.XSHG,37600,3.4943581613098402,3.635,136676.0
2014-08-13,159901.XSHE,239200,1.3898048163999999,1.396,333923.19999999995
2014-08-14,511010.XSHG,2200,96.27362202457998,96.668,212669.6
2014-08-14,510050.XSHG,255800,1.2376071707999996,1.335,341493.0
2014-08-14,510500.XSHG,37600,3.4943581613098402,3.611,135773.6
2014-08-14,159901.XSHE,239200,1.3898048163999999,1.381,330335.2
