cash,daily_return,date,market_value,total_value
12307.231532798207,0.003030064020357326,2025-04-29,1955410.8,1967718.0315327982
12307.231532798207,0.0029598244802702123,2025-04-30,1961234.9,1973542.131532798
6925.780932798207,0.017253723067748084,2025-05-06,2000667.3,2007593.0809327983
6925.780932798207,0.0003586882256365609,2025-05-07,2001387.4,2008313.1809327982
6925.780932798207,-0.005493814463177982,2025-05-08,1990354.1000000003,1997279.8809327986
6925.780932798207,-0.008106975969956798,2025-05-09,1974162.2,1981087.9809327982
2749.718211478219,-0.0005157078994739717,2025-05-12,1977316.5999999999,1980066.3182114782
2749.718211478219,-0.0048479184316768675,2025-05-13,1967717.4,1970467.1182114782
2749.718211478219,0.0047162928597537235,2025-05-14,1977010.7000000002,1979760.4182114785
2749.718211478219,-0.014633285792314155,2025-05-15,1948040.3000000003,1950790.0182114786
2749.718211478219,0.0005136893210671012,2025-05-16,1949042.4,1951792.1182114782
6649.535509868292,-0.0009111025119004079,2025-05-19,1943364.3,1950013.8355098683
6649.535509868292,0.004075714672004738,2025-05-20,1951312.0,1957961.5355098683
6649.535509868292,0.012989172432019913,2025-05-21,1976744.3,1983393.8355098683
6649.535509868292,0.0002496730559176097,2025-05-22,1977239.5,1983889.0355098683
6649.535509868292,-0.004290461738356455,2025-05-23,1968727.7,1975377.2355098682
11752.768145278329,-0.00564148819995558,2025-05-26,1952480.4000000001,1964233.1681452785
11752.768145278329,0.000745074476764751,2025-05-27,1953943.9000000001,1965696.6681452785
11752.768145278329,-0.00017088089197259126,2025-05-28,1953608.0,1965360.7681452783
11752.768145278329,-0.003291507648290337,2025-05-29,1947139.0,1958891.7681452783
11752.768145278329,0.005817830359658105,2025-05-30,1958535.5,1970288.2681452783
11389.38264527833,0.011727580615272792,2025-06-03,1982005.5999999999,1993394.982645278
11389.38264527833,0.000766932802234388,2025-06-04,1983534.4000000001,1994923.7826452784
11389.38264527833,-0.002250411789691209,2025-06-05,1979044.9999999998,1990434.382645278
11389.38264527833,0.0009250242138370002,2025-06-06,1980886.2000000002,1992275.5826452784
9153.466445278329,-0.00048332480124135824,2025-06-09,1982159.2,1991312.6664452783
9153.466445278329,0.0019151688553298296,2025-06-10,1985972.9,1995126.3664452783
9153.466445278329,0.003630998077032599,2025-06-11,1993217.2,2002370.6664452783
9153.466445278329,0.003991368897841463,2025-06-12,2001209.4,2010362.8664452783
9153.466445278329,-0.001104676194067844,2025-06-13,1998988.5999999999,2008142.0664452782
13474.681745308335,0.00492436041516453,2025-06-16,2004556.1999999997,2018030.8817453082
13474.681745308335,-0.0028264185903175143,2025-06-17,1998852.4,2012327.0817453084
13474.681745308335,0.004507020793127703,2025-06-18,2007922.0,2021396.6817453085
13474.681745308335,-0.002151828999859884,2025-06-19,2003572.2999999998,2017046.9817453083
13474.681745308335,0.004346106005133521,2025-06-20,2012338.5999999996,2025813.281745308
9584.479545308333,0.006953699991473883,2025-06-23,2030315.7,2039900.1795453082
