symbol,entry_date,exit_date,status,entry_kind,entry_score,entry_gross,exit_gross,gross_pnl,total_costs,net_pnl,net_return,holding_days,had_partial_exit,partial_exit_count,exit_reason
SZ002714,2019-10-21,2019-11-07,closed,right,200.97524945980786,106202.4,111592.05237273313,5389.652372733137,176.93038808455304,5212.721984648584,0.04900126712240009,17.0,True,1,exit_resonance
SZ000513,2019-10-28,2019-11-26,closed,right,202.01392058174795,108121.39745941162,116812.60664284555,8691.209183433937,184.2928078735227,8506.916375560415,0.07854542410990956,29.0,True,1,exit_resonance
SH603568,2019-11-04,2019-11-18,closed,right,202.91934855285217,110210.00457763672,107989.15504182116,-2220.8495358155633,173.44890292765854,-2394.2984387432216,-0.021690736820123086,14.0,True,1,exit_resonance
SH603816,2019-11-04,2019-11-26,closed,right,203.33761018429698,108935.99267578126,115078.1541601907,6142.161484409429,182.28239821098228,5959.879086198447,0.05461852363554226,22.0,True,1,exit_resonance
SZ002797,2019-11-04,2019-11-18,closed,right,202.84708403460763,111231.99694824219,112889.5037766766,1657.506828434416,180.12595399415224,1477.3808744402638,0.013260503758075404,14.0,True,1,exit_resonance
SZ300253,2019-11-04,2019-11-07,closed,right,205.4617100809716,111033.01190185547,109640.40301325379,-1392.6088886016805,175.84242748778655,-1568.4513160894671,-0.014103655015135066,3.0,False,0,exit_resonance
SH601231,2019-11-11,2019-11-26,closed,right,200.93399055282396,111162.80338745117,116359.19177560348,5196.388388152307,184.61579032451988,5011.772597827787,0.045010226863238405,15.0,True,1,exit_resonance
SZ300115,2019-11-11,2019-11-13,closed,right,203.2568043844877,111704.60139236451,102035.69899335131,-9668.902399013197,166.15778910906604,-9835.060188122263,-0.08791448507261944,2.0,False,0,exit_resonance
SH600079,2019-11-18,2019-11-25,closed,right,205.13680765104633,111535.9966430664,106779.90769767047,-4756.088945395939,172.27467899989153,-4928.363624395831,-0.04411816212057259,7.0,True,1,exit_resonance
SH600380,2019-11-18,2019-11-27,closed,right,200.99278585542407,112002.00335693361,108882.44851776923,-3119.5548391643824,175.1477840801801,-3294.7026232445623,-0.029370532142529743,9.0,True,1,exit_resonance
SH600741,2019-11-18,2019-12-02,closed,right,201.47802478848186,110948.59671936034,110911.53723660929,-37.05948275105038,177.46957742340018,-214.52906017445056,-0.0019305017024674395,14.0,True,1,exit_resonance
SH600885,2019-11-18,2019-12-02,closed,right,203.21961108269744,111508.80803375244,114575.40596095104,3066.5979271986,182.4006701593621,2884.1972570392377,0.025822956797657285,14.0,True,1,exit_resonance
SZ002368,2019-11-18,2019-11-26,closed,right,202.76999051179965,111366.39755859376,112266.56772053026,900.1701619365049,179.35645730426748,720.8137046322374,0.0064620452028098145,8.0,True,1,exit_resonance
SZ002555,2019-11-18,2019-12-16,closed,right,202.66865871136207,111552.00091552734,138740.57236744947,27188.571451922122,213.82834435234253,26974.74310756978,0.2413505387666178,28.0,True,1,exit_resonance
SZ002797,2019-11-25,2019-11-27,closed,right,205.87345574588917,113682.7944190979,109228.43190611438,-4454.362512983527,176.10179980367803,-4630.464312787205,-0.040668445475571954,2.0,False,0,exit_resonance
SH600580,2019-12-02,2020-01-02,closed,right,204.17736277247874,111477.59670410157,119052.78640866437,7575.189704562799,188.21190134249412,7386.977803220305,0.06615254835364319,31.0,True,1,exit_resonance
SH600640,2019-12-02,2020-01-03,closed,right,204.51332736819248,112052.79864959716,134597.22099247517,22544.42234287801,208.59222688509686,22335.830115992914,0.19896270607023156,32.0,True,1,exit_resonance
SZ002681,2019-12-02,2019-12-25,closed,right,202.35924086155794,112026.80786209105,140685.60262088574,28658.794758794684,216.4993257657788,28442.295433028907,0.2533985869235504,23.0,True,1,exit_resonance
SZ000501,2019-12-09,2020-01-09,closed,right,201.0642752683278,115076.40700378419,127794.83234831615,12718.425344531963,200.65620415394625,12517.769140378017,0.10858854998585726,31.0,True,1,exit_resonance
SZ002624,2019-12-09,2020-01-13,closed,right,210.98246990045192,112805.9954223633,125410.47157179259,12604.47614942929,196.87541167003934,12407.60073775925,0.1097989869300066,35.0,True,1,exit_resonance
SZ300207,2019-12-09,2019-12-24,closed,right,209.06108807928473,115512.0114440918,113958.31268047733,-1553.6987636144622,182.79940991784807,-1736.4981735323104,-0.015009300423365776,15.0,True,1,exit_resonance
SZ300315,2019-12-09,2019-12-25,closed,right,213.36539787549196,115593.20364303589,121989.96311497752,6396.7594719416375,193.26491314238154,6203.494558799256,0.05357702533080877,16.0,True,1,exit_resonance
SH601689,2019-12-16,2019-12-30,closed,right,212.1373871868849,116423.9941253662,121223.04229574422,4799.048170378024,192.51715322207735,4606.531017155947,0.0395015334162354,14.0,True,1,exit_resonance
SZ002065,2019-12-16,2019-12-24,closed,right,218.10437625987032,116324.800831604,112910.20689778529,-3414.5939338187163,181.68070921660208,-3596.2746430353186,-0.03086759290533793,8.0,True,1,exit_resonance
SZ002812,2019-12-16,2020-01-16,closed,right,213.7536493908367,113130.0,127370.46319936293,14240.46319936293,199.5206021591718,14040.942597203759,0.12389483801395564,31.0,True,1,exit_resonance
SH601111,2019-12-30,2020-01-09,closed,right,203.4376389810983,121156.80442886353,118899.58537431204,-2257.2190545514895,190.91650231526472,-2448.135556866754,-0.0201745491228071,10.0,True,1,exit_resonance
SH601958,2019-12-30,2020-01-09,closed,right,203.09792028605128,120900.6014591217,121376.43510632064,475.833647198946,194.05954607595334,281.77410112299265,0.0023268912005203787,10.0,True,1,exit_resonance
SZ002048,2019-12-30,2020-02-04,closed,right,202.877464889304,121365.00228881834,122713.15367831948,1348.1513895011303,195.93660046846082,1152.2147890326696,0.009478495309106359,36.0,True,1,exit_resonance
SZ002311,2019-12-30,2020-01-17,closed,right,200.25908920259747,118258.79584960938,126013.85174572928,7755.0558961198985,199.2956460243309,7555.760250095567,0.06378424770058082,18.0,True,1,exit_resonance
SZ002508,2019-12-30,2020-01-09,closed,right,203.41428374609163,119707.20000000001,119311.20532834347,-395.9946716565464,191.0167269268465,-587.011398583393,-0.004895914339746485,10.0,True,1,exit_resonance
SH603355,2020-01-06,2020-01-22,closed,right,202.01887179774042,121509.99618530273,123796.42941593268,2286.4332306299475,197.3883570963033,2089.044873533644,0.017164487441646455,16.0,False,0,exit_resonance
SZ002460,2020-01-06,2020-01-22,closed,right,219.78847245664218,120159.59949645997,136447.2476381389,16287.648141678947,213.42930177851855,16074.218839900428,0.13353671499653794,16.0,True,1,exit_resonance
SH600282,2020-01-13,2020-01-16,closed,right,204.35424843227545,125670.6013847351,125927.21619266208,256.61480792697694,201.40656146588123,55.20824646109571,0.00043860622676880075,3.0,False,0,exit_resonance
SH603888,2020-01-13,2020-02-04,closed,right,205.3604810362496,124959.79065399169,112637.01632388531,-12322.774330106375,183.9160584172484,-12506.690388523622,-0.09993862829447012,22.0,False,0,exit_resonance
SZ000625,2020-01-13,2020-01-20,closed,right,214.87196866967633,125531.99832153322,122522.56762690493,-3009.4306946282886,196.93893741143637,-3206.369632039725,-0.025502240788340205,7.0,True,1,exit_resonance
SZ002317,2020-01-13,2020-02-04,closed,right,211.36402316889067,125046.4014038086,133061.7846368248,8015.383233016197,210.4942404490148,7804.888992567182,0.06231105243685636,22.0,True,1,exit_resonance
