symbol,net_pnl,return_contribution,holding_days,average_weight_when_held,maximum_weight,average_portfolio_weight,positive_contribution_share
SH512480,-1867.357599999974,-0.0016488438692702626,25,0.2693849457312535,0.3507224463498848,0.002398370243333809,0.0
SZ159519,-1922.8994999999998,-0.0038271920209538885,10,0.3339061204059206,0.33456558528579733,0.0011891243604199451,0.0
SZ159611,-2037.2604000000006,-0.0029881736561797635,5,0.3410690836525185,0.34631510131018045,0.0006073167443955102,0.0
SH512890,-2137.581600000001,-0.005873857986409204,10,0.3354711180070938,0.34124214041539525,0.0011946977137004763,0.0
SH513920,-2180.6083999999873,-0.004624516076674363,5,0.33317516422465354,0.3344062036544479,0.0005932606200581437,0.0
SZ159652,-2368.6640000000007,-0.005842277735185241,10,0.3315158560823132,0.334664300693179,0.001180612023085161,0.0
SH510120,-2393.054600000002,-0.009618205708415855,5,0.32771153371996775,0.3312479368078313,0.0005835319332620508,0.0
SH515900,-2487.0081999999857,-0.004982222599131604,5,0.32945978117348435,0.33383276471816775,0.0005866449094969451,0.0
SZ159613,-2635.938600000002,-0.007415467033262955,5,0.3333970399946805,0.33573521351938623,0.0005936556979962259,0.0
SH512980,-2921.2035000000014,0.0021432224413950036,35,0.28498184232597085,0.34334120819645864,0.003552124103065876,0.0
SZ159843,-3008.598600000003,-0.0075564425222311915,10,0.3261729095173222,0.3268873751977927,0.0011615844356029992,0.0
SH513630,-3046.1610999999866,-0.0065503370624383555,10,0.33284942535811146,0.3337270249936487,0.001185361201417776,0.0
SZ159506,-3051.004800000002,-0.008047713137863817,5,0.33413694375141,0.33449453657975314,0.0005949731904405449,0.0
SH512930,-3415.8105000000137,-0.009636730585430641,5,0.3302730921390933,0.33264781570795754,0.0005880931127832858,0.0
SH510170,-3466.762800000014,-0.0031711723787759298,25,0.3351960492300195,0.3446883847777081,0.0029842953100963276,0.0
SH512070,-3607.7024999999867,-0.010368805073320572,55,0.37464132994075594,0.9999448781774113,0.007338060237443582,0.0
SH510410,-3645.4647999999993,-0.005076082658559281,20,0.3340211136483565,0.34167671876000016,0.00237906776102818,0.0
SH515120,-3792.745400000003,-0.007660934883435028,15,0.3329548829099055,0.33414877531451775,0.0017786051437494953,0.0
SH520990,-3851.8064999999824,-0.007674830817255213,5,0.3495288070658058,0.35678534821859037,0.0006223803544619049,0.0
SZ159748,-3879.0751999999807,-0.009004746809952963,5,0.33471726744483743,0.3387485766208109,0.0005960065303504939,0.0
SZ159931,-3951.701799999999,-0.01939771562007733,5,0.32023524904112266,0.32391734366704206,0.0005702194605433096,0.0
SH561910,-3985.934000000003,-0.010831510999021556,5,0.33032601981009824,0.3322427875358365,0.0005881873572117134,0.0
SH513950,-3994.2046681146016,-0.007058382338302901,5,0.3297526068615836,0.33119750452406327,0.00058716632275923,0.0
SZ159141,-4130.984000000004,-0.005379796636985748,5,0.3324559317195945,0.3333555995274193,0.0005919799353981384,0.0
SH588220,-4254.680200000002,-0.007179052266864239,10,0.33358949561871587,0.34065592136003514,0.001187996779268931,0.0
SH513970,-4294.2960000000285,-0.006164656407561524,5,0.33106557895090793,0.3317475441853842,0.0005895042360236964,0.0
SZ159530,-4375.112000000004,-0.011044386378816662,5,0.32779836180455096,0.33091313354253576,0.0005836865416747703,0.0
SH516190,-4406.4136000000035,-0.008314988798014294,5,0.329404437592956,0.33146151738874174,0.0005865463632353206,0.0
SZ159752,-4408.186500000015,-0.011998776443310542,5,0.33065458246889584,0.33359604153994127,0.0005887724046810824,0.0
SH515960,-4449.278999999992,-0.00932465126446001,10,0.33194611612697383,0.33460036290380296,0.0011821442882014737,0.0
SH513530,-4487.414799999979,-0.011662983769654089,5,0.33099799675113195,0.33369344869200585,0.0005893838973488817,0.0
SH515260,-4681.412500000017,-0.011698224562229447,5,0.33073348143378506,0.33276998251590084,0.0005889128942909278,0.0
SZ159910,-4709.811599999994,-0.016270143759752283,5,0.32700683648121515,0.3302260532418183,0.0005822771304864942,0.0
SZ159605,-4830.956000000004,-0.012001741459064281,5,0.32234380912329763,0.32791263925863334,0.000573974019094191,0.0
SH513750,-4990.962699999993,-0.01136336112044245,10,0.32953845864780573,0.3351736104230367,0.0011735700094295076,0.0
SZ159903,-4992.73489999999,-0.016973637071895385,10,0.3309267663392483,0.34003559565988467,0.0011785141251397732,0.0
SH510150,-5026.447699999993,-0.014718716436899712,25,0.3345317160399399,0.34442356098021554,0.002978380662748753,0.0
SZ159692,-5048.467200000003,-0.012709975334914539,5,0.33692235798598136,0.338780649489536,0.0005999329736217617,0.0
SZ159993,-5068.593600000005,-0.012726579063921202,5,0.3355543458034748,0.3368782613646511,0.0005974970544933669,0.0
SZ159909,-5114.953999999999,-0.014521268446166006,10,0.3338613024348917,0.3351364333845131,0.0011889647522610105,0.0
SH588860,-5174.109099999987,-0.008558468546236483,10,0.3325768960452181,0.34142753463387454,0.0011843906554316883,0.0
SZ159962,-5259.701699999991,-0.01383858721859214,5,0.3373587847048435,0.33989409366107154,0.0006007100867251486,0.0
SH513350,-5620.493000000002,-0.009074542535701979,10,0.3321383231394701,0.33697765988817746,0.001182828786109224,0.0
SH512800,-5628.168500000004,-0.010572029612605456,50,0.28874923274397624,0.48881537240432793,0.005141546167093594,0.0
SH515210,-5641.646900000007,-0.014122930166546546,15,0.3304767171740943,0.3372626724201293,0.0017653670789214441,0.0
SH516320,-6200.087000000017,-0.016852538706754187,5,0.3293319344605202,0.3311948611788345,0.0005864172622160261,0.0
SH513070,-6263.924200000005,-0.009029820478961795,5,0.33124195084678976,0.334385140881392,0.0005898182885448535,0.0
SH512880,-6453.433499999997,-0.02707723252484813,55,0.3911181632194057,0.9996034805786798,0.00766079023399833,0.0
SZ159855,-6476.498000000005,-0.01764365704688692,10,0.33102010537533055,0.3408510160689977,0.0011788465291144251,0.0
