execution_date,symbol,shares,market_value_at_open
2022-02-07,SH603709,133800,2165405.421066284
2022-02-07,SH603813,152400,2164753.476333618
2022-02-07,SH688215,64700,2163688.8484954834
2022-02-07,SH688309,138300,2165392.5870895386
2022-02-07,SZ000702,452000,2165728.298187256
2022-02-07,SZ002209,322400,2162356.252670288
2022-02-07,SZ002633,247400,2165653.1745910645
2022-03-01,SH600768,230800,2358610.3202819824
2022-03-01,SH600778,519800,2359208.878135681
2022-03-01,SH603389,445200,2359453.091812134
2022-03-01,SH603709,141000,2359240.0188446045
2022-03-01,SH603958,364300,2359444.202852249
2022-03-01,SH688215,67300,2357155.389404297
2022-03-01,SH688309,146500,2357891.1333084106
2022-03-01,SZ000702,455600,2359429.175758362
2022-03-01,SZ002209,324400,2359014.162635803
2022-03-01,SZ002633,263600,2356121.5858459473
2022-04-01,SH600455,112100,2395317.5241470337
2022-04-01,SH600768,248400,2396709.0671539307
2022-04-01,SH603709,145800,2397182.615661621
2022-04-01,SH603958,366500,2397060.6298446655
2022-04-01,SH688215,71900,2396045.612716675
2022-04-01,SH688309,161900,2396341.440296173
2022-04-01,SZ002633,255800,2396728.3868789673
2022-04-01,SZ002862,199800,2397247.4933624268
2022-04-01,SZ300478,224200,2397301.9298553467
2022-04-01,SZ300736,222900,2387347.0141410828
2022-05-05,SH600455,114900,1998588.6863708496
2022-05-05,SH600520,269000,1999103.3754348755
2022-05-05,SH600768,251800,1999025.3442764282
2022-05-05,SH603389,452300,1998974.5164871216
2022-05-05,SH603709,140800,1998052.6489257812
2022-05-05,SH603958,377500,1998933.9911937714
2022-05-05,SH688215,75200,1996795.8892822266
2022-05-05,SZ002633,269600,1998508.8333129883
2022-05-05,SZ002856,240600,1999030.9061050415
2022-05-05,SZ002862,203200,1993517.2714233398
2022-06-01,SH600455,118900,2300617.3015594482
2022-06-01,SH600768,255200,2301537.833404541
2022-06-01,SH603389,467000,2302020.6546783447
2022-06-01,SH603709,148500,2301796.5931892395
2022-06-01,SH603958,389600,2301908.0184936523
2022-06-01,SH688215,78400,2299319.0185546875
2022-06-01,SZ002633,272400,2302177.6725769043
2022-06-01,SZ300417,240000,2302036.5142822266
2022-06-01,SZ300554,166500,2301407.8617095947
2022-06-01,SZ300736,242500,2296698.6989974976
2022-07-01,SH600455,125500,2425511.887550354
2022-07-01,SH600768,265200,2426704.0798187256
2022-07-01,SH603269,292200,2426788.5257720947
2022-07-01,SH603709,151600,2425926.74407959
2022-07-01,SH603729,181200,2426900.7041931152
2022-07-01,SH603813,163100,2426020.7288742065
2022-07-01,SH688215,79300,2426882.384490967
2022-07-01,SZ002209,355900,2426892.19956398
2022-07-01,SZ300736,244700,2427252.4960517883
2022-07-01,SZ300779,179700,2413016.47939682
2022-08-01,SH600137,182400,2664834.3658447266
2022-08-01,SH600455,125500,2665766.945838928
2022-08-01,SH600768,269000,2665430.2921295166
2022-08-01,SH603709,162400,2665728.6224365234
2022-08-01,SH603729,187800,2664882.9957962036
2022-08-01,SH603958,418600,2665613.075733185
2022-08-01,SH688215,79600,2664222.724914551
2022-08-01,SZ002719,359700,2665760.803127289
2022-08-01,SZ300478,254100,2665256.1930656433
2022-08-01,SZ300736,257800,2652830.584335327
